title,description,text,date,language
Twitter will let users send and receive Bitcoin tips,"Four months after Twitter first introduced in-app tipping, the company is expanding its “tip jar” feature in a major way. The company is opening up tipping to all its users globally, and for the first time will allow some users to send and receive tips in Bit…","Four months after Twitter first introduced in-app tipping, the company is expanding its tip jar feature in a major way. The company is opening up tipping to all its users globally, and for the first … [+2390 chars]",2021-09-23,en
Hitting the Books: How Bitcoin is somehow worth more than the paper it's printed on,"Bitcoin and similar blockchain-based cryptos exhibit the same radical divergence from traditional scarcity economics that we first saw when MP3s and Napster cratered physical album sales at the turn of the century. Unlike gold, which derives its value from bo…",Bitcoin and similar blockchain-based cryptos exhibit the same radical divergence from traditional scarcity economics that we first saw when MP3s and Napster cratered physical album sales at the turn … [+8436 chars],2021-09-25,en
Bitcoin hits strongest level since May,"<ul><li>Bitcoin, in terms of market value, rose 4.6% to $53,859.6.</li><li>It passed $50,000 mark for first time in four weeks on Tuesday. </li><li>Bitcoin fell below $50,000 in early September.</li></ul>Bitcoin hit its highest level since mid-May on Wednesda…","<ul><li>Bitcoin, in terms of market value, rose 4.6% to $53,859.6.</li><li>It passed $50,000 mark for first time in four weeks on Tuesday. </li><li>Bitcoin fell below $50,000 in early September.</li>… [+821 chars]",2021-10-06,en
"BTC, DOGE, and SHIBA Price Analysis for October 6",How high are the chances of Bitcoin sustaining its gains and pushing altcoins higher?   from U.Today https://ift.tt/3BkD5px https://ift.tt/e...,How high are the chances of Bitcoin sustaining its gains and pushing altcoins higher?from U.Today https://ift.tt/3BkD5px https://ift.tt/eA8V8J,2021-10-06,en
JPMorgan CEO Says Bitcoin Has No Intrinsic Value After Claiming That Its Price Could Rise 10X,JPMorgan CEO Jamie Dimon is still not a Bitcoin fan despite rapid price appreciation   from U.Today https://ift.tt/3iyi5nR https://ift.tt/eA...,JPMorgan CEO Jamie Dimon is still not a Bitcoin fan despite rapid price appreciationfrom U.Today https://ift.tt/3iyi5nR https://ift.tt/eA8V8J,2021-10-04,en
Why have Elon Musk and Tesla suddenly turned against bitcoin?,"Elon Musk has performed a sudden U-turn on bitcoin over concerns about its energy usage, and says his electric car firm Tesla will no longer accept the cryptocurrency as payment – but will his decision have an impact, and could Tesla turn to an alternative cu…","Elon Musk has performed a sudden U-turn on bitcoin over concerns about its energy usage, and says his electric car firm Tesla will no longer accept the cryptocurrency as payment – but will his decisi… [+3069 chars]",2021-09-28,en
"Who Bought $1.6B in Bitcoin Wednesday, and Why?","last week the cryptocurrency market persistently asked the gnawing and annoying question, “Why?”
Specifically, why did someone make a massive purchase of $1.6 billion worth of bitcoin on Wednesday in a couple of minutes?
While many see this huge buy as a si…","Specifically, why did someone make a massive purchase of $1.6 billion worth of bitcoin on Wednesday in a couple of minutes?
While many see this huge buy as a signal of bullishness, there may be more… [+8443 chars]",2021-10-10,en
China’s central bank bans cryptocurrency transactions to avoid ‘risks’,"China’s central bank on Friday said cryptocurrency transactions in the country are illegal, banning all transactions. It said cryptocurrencies like bitcoin and Ethereum are not legal tender and can’t be circulated.","Its the countrys latest crackdown on digital currencies
Illustration by Alex Castro / The Verge
The Peoples Bank of China, the countrys central bank, said Friday that cryptocurrency transactions ar… [+1461 chars]",2021-09-24,en
"Mining Bitcoin Using Nuclear Power May Be Fine, Actually","Last week, the Wall Street Journal ran a piece on three recent nuclear-bitcoin deals that may signal a growing trend in the industry. The Journal piece reflects a small but growing sense of excitement expressed by some crypto fans—including Miami mayor and bi…","Last week, the Wall Street Journal ran a piece on three recent nuclear-bitcoin deals that may signal a growing trend in the industry. The Journal piece reflects a small but growing sense of excitemen… [+9512 chars]",2021-10-08,en
Twitter will allow people to tip their favorite content creators with bitcoin,"Twitter will now allow people to tip their favorite content creators with bitcoin and will also launch a fund to pay some users who host audio chat rooms on its Spaces feature, the company said on Thursday.The company also said it will test new ways to help u…","Twitter will now allow people to tip their favorite content creators with bitcoin and will also launch a fund to pay some users who host audio chat rooms on its Spaces feature, the company said on Th… [+2802 chars]",2021-09-24,en
Bitcoin Bros and Nuclear Bros Have Found Common Cause,"Cryptocurrency mining is a wildly energy-intensive endeavor that doesn’t only pump out more carbon emissions than some small countries, but is quickly racking up a small mountain range’s worth of electronic waste. Read more...","Cryptocurrency mining is awildlyenergy-intensive endeavor that doesnt only pump out more carbon emissions than some small countries, but is quickly racking up a small mountain ranges worth of electro… [+2719 chars]",2021-09-27,en
,"PayPal has two decades of experience in online payments and manages 403 million user accounts. So, it caused ripples when it announced on 23 August it would allow UK customers to buy and sell four cryptocurrencies: bitcoin prices rose to a three-month high. B…","PayPal has two decades of experience in online payments and manages 403 million user accounts. So, it caused ripples when it announced on 23 August it would allow UK customers to buy and sell four cr… [+3680 chars]",2021-09-28,en
SEC Chair Dodges Question About Regulatory Status of Bitcoin and Ether,The SEC boss remains mum about the regulatory status of the two largest cryptocurrenciesfrom U.Today https://ift.tt/3Af9H2O https://ift.tt/eA8V8J,The SEC boss remains mum about the regulatory status of the two largest cryptocurrenciesfrom U.Today https://ift.tt/3Af9H2O https://ift.tt/eA8V8J,2021-10-05,en
"IMF Head Says Central Bank Digital Currencies Are Reliable, Hard to Think of Bitcoin as Money","Digital currencies backed by central banks are the most reliable form of digital money, according to IMF managing director Kristalina Georgieva. At the same time, to think of cryptocurrencies such as bitcoin as money is difficult, believes the chief executive…","Digital currencies backed by central banks are the most reliable form of digital money, according to IMF managing director Kristalina Georgieva. At the same time, to think of cryptocurrencies such as… [+2917 chars]",2021-10-06,en
Tesla CEO Elon Musk says U.S. government should avoid regulating crypto,"Tesla CEO Elon Musk on Tuesday said the U.S. government should steer clear of trying to regulate the crypto market.“It is not possible to, I think, destroy crypto, but it is possible for governments to slow down its advancement,” Musk said at the Code Confere…","Tesla CEO Elon Musk on Tuesday said the U.S. government should steer clear of trying to regulate the crypto market.“It is not possible to, I think, destroy crypto, but it is possible for governments … [+1892 chars]",2021-09-29,en
"A Bitcoin Mining Operation Started a Secret Power Plant, It Did Not Go as Planned","A There Will Be Blood-style drama unfolds in Canada, where a Bitcoin mining operation illegally tapped an unused natural gas well near a wealthy neighborhood in Alberta. The company Link Global might have gotten away with pilfering gas, if not for noise compl…","A There Will Be Blood-style drama unfolds in Canada, where a Bitcoin mining operation illegally tapped an unused natural gas well near a wealthy neighborhood in Alberta. The company Link Global might… [+2770 chars]",2021-10-06,en
Bitcoin edges off all-time high but momentum for more gains this year seen intact - Reuters,"Bitcoin fell slightly in Asian hours on Thursday, a day after marking an all-time high on optimism around the launch of the first U.S. bitcoin futures ETF.","Representation of cryptocurrency Bitcoin is placed on PC motherboard in this illustration taken, June 29, 2021. REUTERS/Dado Ruvic/IllustrationHONG KONG, Oct 21 (Reuters) - Bitcoin fell slightly in A… [+1642 chars]",2021-10-21,en
Riding the crypto rollercoaster: Bitcoin nears record high - Reuters,"Bitcoin is on the cusp of an all-time high, its latest rally fuelled by the launch of the first U.S. bitcoin futures exchange-traded fund that investors think could make the cryptocurrency accessible for swathes of new investors. <a href=""/technology/bitcoin-…","A representation of the virtual cryptocurrency Bitcoin is seen in this picture illustration taken October 19, 2021. REUTERS/Edgar SuLONDON, Oct 20 (Reuters) - Bitcoin is on the cusp of an all-time hi… [+3260 chars]",2021-10-20,en
Old coal plant is now mining bitcoin for a utility company,Bitcoin is breathing new life into another ailing power plant.,"19 with 16 posters participating
Bitcoins massive power consumption is the cryptocurrencys dirty secret. To mine bitcoin, computers across the globe chew through enough electricity to power a medium… [+3500 chars]",2021-09-24,en
The SEC could approve as many as 4 bitcoin futures ETFs in October,"Unlike bitcoin ETFs, SEC Chair Gary Gensler has expressed more openness towards bitcoin futures ETF.","Securities and Exchange Commission headquarters.
REUTERS/Andrew Kelly
The US Securities and Exchange Commission could approve as many as four bitcoin futures exchange-traded funds in October, in wh… [+1732 chars]",2021-10-08,en
L’épouvantail Papandréou prépare son retour,"L’ex-premier ministre socialiste, évincé en 2011 après sa gestion calamiteuse de la crise financière, entend prendre sa revanche.","Lex-premier ministre socialiste, évincé en 2011 après sa gestion calamiteuse de la crise financière, entend prendre sa revanche.À Athènes
On le pensait en retrait de la vie politique, en train de di… [+1205 chars]",2021-10-19,fr
Jérôme Kerviel lance sa newsletter économique et financière,"C'est Publications Agora France, qui éditera dès le 20 octobre le «regard différent» sur l'actualité de l'ancien trader, qui a causé une perte de 4,82 milliards d'euros à la Société Générale.","C'est Publications Agora France, qui éditera dès le 20 octobre le «regard différent» sur l'actualité de l'ancien trader, qui a causé une perte de 4,82 milliards d'euros à la Société Générale.Les bons… [+2792 chars]",2021-10-08,fr
"Au bord de la faillite, le géant chinois de l’immobilier Evergrande va rembourser une partie de sa dette",Le groupe spécialiste de l’immobilier est loin d’être tiré d’affaire compte tenu du montant total de sa dette qui inquiète fortement les marchés financiers.,"Tous les regards sont tournés vers le gouvernement chinois, toujours silencieux, dans le dossier Evergrande, le grand groupe chinois spécialiste de limmobilier écrasé par quelque 260 milliards deuros… [+4006 chars]",2021-09-22,fr
"«Big business» N°66 : il n'y aura pas d'autre Lehman Brothers, mais...",LETTRE EXCLUSIVE ABONNÉS - Quelles répercussions aurait une faillite du géant chinois de l'immobilier Evergrande ?,"LETTRE EXCLUSIVE ABONNÉS - Quelles répercussions aurait une faillite du géant chinois de l'immobilier Evergrande ?Chers abonnés,
Il y a treize ans, le 15 septembre 2008, la faillite de Lehman Brothe… [+1114 chars]",2021-09-28,fr
"Crack : au Portugal, la lutte antidrogue craque",L’Etat champion de la dépénalisation voit ses bons résultats en matière de réduction de la consommation de drogues menacés par la montée du produit.,"«Le crack est en train de prendre la place qua eue en son temps lhéroïne !» Cest le cri dalarme que poussait récemment dans lhebdomadaire Expresso João Goulão, directeur du Service dintervention dans… [+2599 chars]",2021-10-01,fr
Evergrande et la crainte d’un Lehman Brothers à la chinoise,"Le risque de défaut de paiement du géant chinois de l’immobilier Evergrande suscite de plus en plus des comparaisons avec la faillite de Lehman Brother en 2008, qui a déclenché la dernière crise financière mondiale. Si le parallèle est séduisant par certains …","Le risque de défaut de paiement du géant chinois de limmobilier Evergrande suscite de plus en plus des comparaisons avec la faillite de Lehman Brother en 2008, qui a déclenché la dernière crise finan… [+8046 chars]",2021-09-22,fr
Merkel et la crise financière: l'européenne récalcitrante,"Dans cet épisode, Emilia parvient à contacter Jean-Claude Juncker et Alexis Tsipras pour les interroger sur la réaction d’Angela Merkel face à la crise financière.",Emilia nous a déjà parlé de la jeunesse d'Angela Merkel et a retracé chaque étape de sa carrière politique jusqu'au rôle qu'elle a joué dans la conclusion du traité de Lisbonne. Mais comme nous allon… [+2069 chars],2021-10-14,fr
Montebourg : «Nul besoin d’agiter la menace d’un Frexit pour faire respecter notre souveraineté»,"Pour le candidat à la présidentielle, il est faux d’affirmer que le droit européen prime sur la Constitution des Etats membres. A ses yeux, la Cour de justice de l’UE comme la Commission n’ont fait qu’agir par «des coups de force juridiques» depuis des années.",Le Tribunal constitutionnel polonais vient de juger que certains articles des traités européens étaient contraires à la Constitution polonaise. La Commission européenne a affirmé immédiatement que le… [+7129 chars],2021-10-17,fr
"« L’assainissement du secteur immobilier chinois est indispensable, mais il ne se fera pas sans douleur »","Avec le naufrage de l’un des plus gros promoteurs du pays, Evergrande, le récit tissé par Xi Jinping depuis la crise du Covid-19, dont la Chine serait sortie plus forte que jamais, est en train de voler en éclats, estime, dans sa chronique, Stéphane Lauer, éd…","China Fortune Land, RiseSun, Evergrande, Fantasia Holdings : lénumération des noms des grands groupes immobiliers chinois est un véritable catalogue confucéen, pétri de morale positive, évocateur dun… [+2786 chars]",2021-10-10,fr
Angela Merkel est surcotée,"Est-ce pour sa longévité, son indéniable charisme, sa domination de la scène européenne ou la stabilité de sa conduite des affaires? Pour ce qui est des questions économiques, la stabilité a largement été synonyme d'inaction et son bilan est plutôt décevant. …","Temps de lecture: 5 min
Les deux actions les plus spectaculaires d'Angela Merkel sont deux erreurs majeures.
La première a été sa décision de fermer toutes les centrales nucléaires allemandes à la … [+6887 chars]",2021-09-24,fr
"Angela Merkel, la chancelière qui inventa le ""en même temps""","Boussole par temps de crise, ""Mutti"" a redonné confiance aux Allemands. Elle laisse un pays en bonne santé, qui doit à présent assumer son poids géopolitique.",Angela Merkel a toujours eu de la chance. Aucun dirigeant d'une démocratie moderne n'est resté aussi longtemps au pouvoir avant de décider de le quitter de son plein gré et au sommet de sa popularité… [+20412 chars],2021-09-23,fr
États-Unis: un défaut de paiement et une récession en fin d'année?,"Tandis que les Démocrates et les Républicains se chamaillent autour du plafonnement de la dette, le précipice se rapproche. Lire la suite","Temps de lecture: 4 min
Après une crise financière en 2008, une crise sanitaire en 2020, que diriez-vous d'une crise économique en 2022? Dans quelques semaines, les États-Unis pourraient atteindre l… [+5609 chars]",2021-10-11,fr
L’Islande se rêve en terre promise des data centers,"Pour diversifier son économie, l’île de l’Atlantique nord cherche à attirer les centres de données sur son sol volcanique. Avec deux atouts de poids : son climat frais permettant de refroidir les ordinateurs à moindre coût et son électricité issue des énergie…","Site du data center de lentreprise Verne Global, à Reykjanesskagi, en Islande, le 27 juillet 2021. PAWEL SWIDER / VERNE GLOBAL
Les pas dHelgi Helgason résonnent le long du couloir blanc, au calme tr… [+2611 chars]",2021-10-02,fr
"Au bord du gouffre, Evergrande va rembourser une petite partie de sa dette","Shanghai - Menacé de faillite, le géant chinois de l'immobilier Evergrande a annoncé mercredi le paiement d'intérêts sur une petite partie de sa dette, mais sans rassurer des marchés financiers qui attendent toujours de savoir si Pékin va voler au secours du …","La crainte de voir se répéter en Chine, deuxième économie de la planète, un scénario à la Lehman Brothers, dont la faillite avait précipité la crise de 2008 aux Etats-Unis et dans le monde, a fait pl… [+3931 chars]",2021-09-22,fr
L'émergence d'une nouvelle génération d'écrivains camerounais,"Portée par Internet et les réseaux sociaux, une nouvelle génération d’écrivains camerounais, issue de la minorité anglophone du pays, émerge et rayonne à l’international, raconte Al-Jazeera.","Portée par Internet et les réseaux sociaux, une nouvelle génération décrivains camerounais, issue de la minorité anglophone du pays, émerge et rayonne à linternational, raconte Al-Jazeera.Il y a cinq… [+6319 chars]",2021-10-04,fr
Une nouvelle génération d'écrivains raconte le Cameroun en anglais,"Portée par Internet et les réseaux sociaux, une nouvelle génération d’écrivains camerounais, issue de la minorité anglophone du pays, émerge et rayonne à l’international, raconte Al-Jazeera.","Portée par Internet et les réseaux sociaux, une nouvelle génération décrivains camerounais, issue de la minorité anglophone du pays, émerge et rayonne à linternational, raconte Al-Jazeera.Il y a cinq… [+6319 chars]",2021-10-04,fr
"""La Bourse finance les super-riches et non plus les petites et moyennes entreprises""","Depuis 1975, le système social redistributif à la française est bel et bien en panne. La richesse des plus riches n'a cessé d'augmenter. Gabriel Gaspard, chef d’entreprise à la retraite, docteur en informatique des organisations et spécialiste en économie fin…","En France, limpôt et les prestations sociales ne jouent plus leurs rôles de « redistribution ». D'après l'Insee, de 1975 à 2016, la France a subi quarante ans de hausse des inégalités de niveau de vi… [+7504 chars]",2021-09-22,fr
Le Nobel d'économie boucle un millésime imprévisible,"Stockholm - Au terme d'une saison des Nobel qui a déjoué de nombreux pronostics et fui les favoris, le prix d'économie est remis lundi à Stockholm avec un nombre croissant de prétendantes pour une récompense ayant le bonnet d'âne en termes de parité.","La macroéconomie et les cycles du crédit, l'économie de la santé ou le marché du travail figurent parmi les domaines bien placés pour décrocher le plus jeune des Nobel, selon des experts sondés par l… [+4135 chars]",2021-10-11,fr
"Angela Merkel, ""l'inoxydable"" chancelière s'apprête à tirer sa révérence","Berlin - Seize années au pouvoir, une popularité ""inoxydable"" et une succession bâclée : Angela Merkel s'apprête à quitter la chancellerie, laissant un grand vide en Allemagne et dans le monde où elle a incarné pragmatisme et goût du compromis, au risque de l…","C'est peut-être sur une défaite historique de son camp que la chancelière, qui a égalé le record de longévité aux commandes de l'Allemagne de son mentor Helmut Kohl, risque de se retirer de la politi… [+5487 chars]",2021-09-23,fr
Y a-t-il un prof à la fac ? Et 4 autres infographies à ne pas rater cette semaine,"Cette semaine, nous faisons le point sur le taux d’encadrement à l’université, le minimum pour vivre, le taux d’emploi des jeunes, la mondialisation financière et les éoliennes offshore.","Chaque jeudi, Alternatives Economiques vous sélectionne les meilleures données de la semaine. Pour ce nouveau Graphorama, nous faisons le point sur le taux dencadrement à luniversité, le minimum pour… [+7291 chars]",2021-09-23,fr
