,title,description,text,date,language,title_compound,title_pos,title_neu,title_neg,title_sent,text_compound,text_pos,text_neu,text_neg,text_sent
0,Nervos launches cross-chain bridge to connect Ethereum and Cardano,"A new cross-chain bridge is currently connected to Ethereum through a cross-chain bridge, with Cardano and other public chains to come in the future.Nervos today announced that the Force Bridge is now live on the mainnet. The Nervos Network is a collection of…","A new cross-chain bridge is currently connected to Ethereum through a cross-chain bridge, with Cardano and other public chains to come in the future.
Nervos today announced that the Force Bridge is … [+3114 chars]",2021-10-16,en,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0
1,China’s central bank bans cryptocurrency transactions to avoid ‘risks’,"China’s central bank on Friday said cryptocurrency transactions in the country are illegal, banning all transactions. It said cryptocurrencies like bitcoin and Ethereum are not legal tender and can’t be circulated.","Its the countrys latest crackdown on digital currencies
Illustration by Alex Castro / The Verge
The Peoples Bank of China, the countrys central bank, said Friday that cryptocurrency transactions ar… [+1461 chars]",2021-09-24,en,-0.296,0.0,0.784,0.216,-1,0.0,0.0,1.0,0.0,0
2,"Mark Cuban Heralds Ethereum, Bitcoin",Mark Cuban has some advice for people who are new to investing in cryptocurrency.,"Mark Cuban has some advice for people who are new to investing in cryptocurrency.
As an investment, I think ethereum has the most upside, he told CNBC Make It Wednesday. Bitcoin, he added, is better… [+1139 chars]",2021-10-14,en,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0
3,Music company buys NFT of 'Side-eyeing Chloe' meme,The image of two-year-old Chloe Clem making a disapproving face was auctioned in cryptocurrency.,"image source, foundation.app/@SideEyeingChloe
image captionChloe Clem's disapproving look has become an internet sensation
An image of a popular internet meme, featuring a two-year-old girl, has be… [+2490 chars]",2021-09-25,en,0.0,0.0,1.0,0.0,0,0.4215,0.101,0.899,0.0,1
4,FTX launches US marketplace for solana NFTs with plans to expand to ethereum-based tokens,"FTX also plans to roll out support for ethereum-based NFTs to compete with OpenSea, among others. The marketplace is only available to US customers.","An immersive art installation, which will be converted into NFTs in Hong Kong, September 30, 2021.
REUTERS/Tyrone Siu/File Photo
FTX.US, an affiliate of cryptocurrency exchange FTX, is launching an… [+2138 chars]",2021-10-11,en,0.3182,0.15,0.85,0.0,1,0.0,0.0,1.0,0.0,0
5,Coinbase plans to launch its own NFT marketplace by the end of the year as it rides digital asset boom,The initial launch will support ethereum-based ERC-721 and ERC-1155 standards with plans to roll out multichain support after.,"Coinbase NFT
Robert Nickelsberg/Getty Images
Coinbase Global is joining the NFT bandwagon by launching its own marketplace by the end of the year.
The largest cryptocurrency exchange in the US on … [+2112 chars]",2021-10-12,en,0.3612,0.116,0.884,0.0,1,0.0,0.0,1.0,0.0,0
6,"An ethereum-based ETF may come as soon as this year, but other altcoin funds will have to wait, an expert says","For other altcoin-futures ETFs, the question is if the underlying coins will list on the CME, said Trey Griggs, US CEO of crypto trading firm GSR.","Bitcoin and Ethereum.
NurPhoto / Getty Images
If the blockbuster success of the first-ever bitcoin-futures exchange-traded fund is any indication, the debut of an ethereum-based one may just be as … [+3057 chars]",2021-10-22,en,0.0,0.0,1.0,0.0,0,0.8225,0.208,0.792,0.0,1
7,"Cryptocurrencies post inflows for 7 straight weeks, led by bitcoin -CoinShares data - Reuters","Cryptocurrency investment products and funds recorded inflows for a seventh straight week, as institutional investors warmed to more supportive statements from regulators, data from digital asset manager CoinShares showed on Monday.","Representations of cryptocurrencies Bitcoin, Ethereum, DogeCoin, Ripple, Litecoin are placed on PC motherboard in this illustration taken, June 29, 2021. REUTERS/Dado Ruvic/IllustrationNEW YORK, Oct … [+2228 chars]",2021-10-04,en,0.2263,0.147,0.853,0.0,1,0.0,0.0,1.0,0.0,0
8,"Bitcoin rises 9.5% to $47,980.97 - Reuters","Bitcoin was up 9.46% at $47,980.97 as of at 20:12 GMT on Friday, adding $4,146.54 to its previous close.","By Reuters Staff
Oct 1 (Reuters) - Bitcoin was up 9.46% at $47,980.97 as of at 20:12 GMT on Friday, adding $4,146.54 to its previous close.
Bitcoin, the worlds biggest and best-known cryptocurrency… [+239 chars]",2021-10-01,en,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0
9,Ethereum Services Are Centralized,"Read writing from Michael Gummelt on Medium. Building http://plato.io. Every day, Michael Gummelt and thousands of other voices read, write, and share important stories on Medium.","Ive always been vexed by the question of how to validate a startup idea. While it may be the most well-worn topic in all of startup theory, theres still no consensus on the best way to figure out if … [+351 chars]",2021-10-12,en,0.0,0.0,1.0,0.0,0,0.6705,0.146,0.806,0.048,1
10,Bitcoin rises 5% to $51711 - Reuters,"Bitcoin rose 5.01% to $51,711.21 at 22:01 GMT on Tuesday, adding $2,469.07 to its previous close.","A representation of virtual currency bitcoin is seen in front of a stock graph in this illustration taken November 19, 2020. REUTERS/Dado Ruvic/Illustration/File PhotoOct 5 (Reuters) - Bitcoin rose 5… [+414 chars]",2021-10-05,en,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0
11,Bitcoin rises 5.2% to $43717 - Reuters,"Bitcoin was up 5.23% at $43,716.97 as of 22:08 GMT on Thursday, adding $2,174.07 to its previous close.","A representation of cryptocurrency Bitcoin is seen in this illustration taken August 6, 2021. REUTERS/Dado Ruvic/Illustration/File PhotoSept 30 (Reuters) - Bitcoin was up 5.23% at $43,716.97 as of 22… [+413 chars]",2021-09-30,en,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0
12,Bitcoin rises 7.1% to $55163 - Reuters,"Bitcoin rose 7.11% to $55,162.92 at 20:01 GMT on Wednesday, adding $3,661.73 to its previous close.","A representation of the virtual cryptocurrency Bitcoin is seen in this picture illustration taken June 14, 2021. REUTERS/Edgar Su/IllustrationOct 6 (Reuters) - Bitcoin rose 7.11% to $55,162.92 at 20:… [+404 chars]",2021-10-06,en,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0
13,China declares cryptocurrency transactions illegal as crackdown continues,"Bitcoin, Ethereum and others dipped on Friday after the news from Beijing.","Bitcoin, Ethereum and other cryptocurrencies dipped in value on Friday after China declared all transactions involving these digital currencies ""illegal.""
China's central bank, the People's Bank of … [+1905 chars]",2021-09-24,en,-0.5574,0.0,0.66,0.34,-1,0.34,0.079,0.921,0.0,1
14,"NFTs are everywhere. Here's how to buy one from TikTok, NFL, more - CNET","NFTs are taking over sports, media, art and more. But what are they? We'll break it down.","NFT art could be a new way to spend and make money.
Getty Images
The world of NFTs is changing by the minute but what are they? NFTs, or nonfungible tokens, can be tied to a video highlight, a meme… [+7545 chars]",2021-10-03,en,0.0,0.0,1.0,0.0,0,0.4767,0.075,0.925,0.0,1
15,Housing prices soaring higher than incomes in many parts of U.S.,"Housing prices continue to surge across the nation, but homebuyers' incomes aren't keeping up with soaring real estate values. CBS News MoneyWatch reporter...","According to founder Vitalik Buterin, the Ethereum (CRYPTO: ETH) network is on the verge of a dramatic technological revolution. One year from now, Ethereum will transition into a proof-of-stake (PoS… [+372 chars]",2021-10-07,en,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0
16,10 Ways You Can Learn More About Crypto and Blockchain,Want to get up to speed with this exciting technology? Here's how.,"Everybody's heard of cryptocurrency these days, but how much do you know about the technology that powers itthe blockchain? The blockchain has myriad practical use cases beyond just currency and it's… [+4637 chars]",2021-10-04,en,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0
17,Twitter will allow people to tip their favorite content creators with bitcoin,"Twitter will now allow people to tip their favorite content creators with bitcoin and will also launch a fund to pay some users who host audio chat rooms on its Spaces feature, the company said on Thursday.The company also said it will test new ways to help u…","Twitter will now allow people to tip their favorite content creators with bitcoin and will also launch a fund to pay some users who host audio chat rooms on its Spaces feature, the company said on Th… [+2802 chars]",2021-09-24,en,0.5994,0.329,0.671,0.0,1,0.5423,0.119,0.847,0.034,1
18,You can get a free DC x Palm NFT tomorrow. What to know about the digital tokens now - CNET,DC fans can get a rare Batman NFT for free. But what are NFTs? We'll explain.,"NFT art could be a new way to spend and make money.
Getty Images
The world of NFTs is changing by the minute but what are they? NFTs, or nonfungible tokens, can be tied to a video highlight, a meme… [+7849 chars]",2021-10-04,en,0.5106,0.171,0.829,0.0,1,0.4767,0.075,0.925,0.0,1
19,G7 statement: c.bank digital currencies must 'do no harm' to c.bank mandates - Reuters,"Group of Seven advanced economies said any digital currency a central bank issues must ""support and do no harm"" to the bank's ability to fulfill its mandate on monetary and financial stability.","Representations of cryptocurrencies Bitcoin, Ethereum, DogeCoin, Ripple, Litecoin are placed on PC motherboard in this illustration taken, June 29, 2021. REUTERS/Dado Ruvic/Illustration/File Photo
W… [+589 chars]",2021-10-14,en,-0.6908,0.0,0.659,0.341,-1,0.0,0.0,1.0,0.0,0
